title,link,comment
CERN day 1: rebuilding the first web browser,https://remysharp.com/2019/02/12/cern-day-1,
Incremental Learning – A continuous learning approach (2018),https://kishorepv.github.io/The-value-of-Incremental_learning/,
A tiny Swiss company that thinks it can help stop climate change,https://www.nytimes.com/2019/02/12/magazine/climeworks-business-climate-change.html,
Arborists Have Cloned Ancient Redwoods from Their Massive Stumps,https://e360.yale.edu/digest/arborists-have-cloned-ancient-redwoods-from-their-massive-stumps,
Go 1.12 Release Candidate 1 is released,https://groups.google.com/forum/#!msg/golang-announce/r0R2jijOjBo/Egi-Q4uWGQAJ,
Show HN: Open source balloon sim with Three.js,https://alexanderperrin.com.au/triangles/ballooning/,
McCarthy's Ambiguous Operator (2005),http://www.randomhacks.net/2005/10/11/amb-operator/,
"Microsoft security chief: IE is not a browser, so stop using it as your default",https://www.zdnet.com/article/microsoft-security-chief-ie-is-not-a-browser-so-stop-using-it-as-your-default/,
Show HN: Synesthesia – Optimizing BrainF**k Compiler Implemented as Nim Macros,https://github.com/Jeff-Ciesielski/synesthesia,
The Bias Bias in Behavioral Economics,https://www.nowpublishers.com/article/Details/RBE-0092,
